dataset,circuit,comparison,in_scope,paired_valid,current_variant,reference_variant,current_fidelity,reference_fidelity,delta_logF,fidelity_ratio,current_valid_over_N,reference_valid_over_N,ga_applicable_boundaries,current_transfers,reference_transfers,delta_transfers,current_idle_exposures,reference_idle_exposures,delta_idle_exposures,current_log_coherence_linear,reference_log_coherence_linear,delta_log_coherence_linear,current_move_batches,reference_move_batches,delta_move_batches,current_move_time_us,reference_move_time_us,delta_move_time_us,current_algorithm_time_s,reference_algorithm_time_s,delta_algorithm_time_s
qmap154,sqrt8_260,GA_vs_greedy,True,True,paper_h8_ga,paper_h8_greedy_only,1.698027608819522e-07,1.6104277059970193e-07,0.05296754775313417,1.0543954270634393,3/3,1/1,1120,3852.0,3890.0,-38.0,853.0,852.0,1.0,-2.2753705548665564,-2.297492694737508,0.022122139870951685,1738.0,1751.0,-13.0,176545.93349037095,179001.82979770214,-2455.8963073311897,28.264102459,19.525343292,8.738759167000001
qmap154,squar5_261,H8_vs_H0,True,True,paper_h8_ga,paper_h0_ga,3.3708128802624e-05,1.7361898675157462e-05,0.6634609450915736,1.9415001454222165,3/3,3/3,719,2456.0,3348.0,-892.0,578.0,98.0,480.0,-1.5446578266937259,-2.5191759795928235,0.9745181528990976,1109.0,1559.0,-450.0,112654.49537272406,197327.6676134381,-84673.17224071403,18.656748,18.660568083,-0.003820083000000807
qmap154,squar5_261,GA_vs_greedy,True,True,paper_h8_ga,paper_h8_greedy_only,3.3708128802624e-05,3.258040445659839e-05,0.03402800167495812,1.0346135772356015,3/3,1/1,719,2456.0,2480.0,-24.0,578.0,576.0,2.0,-1.5446578266937259,-1.5676840834675834,0.0230262567738575,1109.0,1121.0,-12.0,112654.49537272406,116416.37818968107,-3761.8828169570043,18.656748,13.884262125,4.772485875000001
qmap154,sym9_193,H8_vs_H0,True,False,paper_h8_ga,paper_h0_ga,,,,,3/3,3/3,2126,46388.0,61060.0,,12482.0,1247.0,,,,,20602.0,27082.0,,2103165.450424444,2763821.3854714157,,55.305976708,53.657590958,
qmap154,sym9_193,GA_vs_greedy,True,False,paper_h8_ga,paper_h8_greedy_only,,,,,3/3,1/1,2126,46388.0,46408.0,,12482.0,12389.0,,,,,20602.0,20612.0,,2103165.450424444,2102886.236783042,,55.305976708,49.9217765,
qmap154,urf3_155,H8_vs_H0,True,False,paper_h8_ga,paper_h0_ga,,,,,3/3,3/3,8321,534080.0,717062.0,,132836.0,4027.0,,,,,247201.0,326166.0,,25041010.818370327,31542471.249155536,,463.490769459,547.331299375,
qmap154,urf3_155,GA_vs_greedy,True,False,paper_h8_ga,paper_h8_greedy_only,,,,,3/3,1/1,8321,534080.0,541384.0,,132836.0,133071.0,,,,,247201.0,249369.0,,25041010.818370327,25905212.575157564,,463.490769459,437.89675275,
qmap154,urf4_187,H8_vs_H0,True,False,paper_h8_ga,paper_h0_ga,,,,,0/3,0/3,,,,,,,,,,,,,,,,,,,
qmap154,urf4_187,GA_vs_greedy,False,False,paper_h8_ga,paper_h8_greedy_only,,,,,0/3,0/1,,,,,,,,,,,,,,,,,,,
qmap154,z4_268,H8_vs_H0,True,True,paper_h8_ga,paper_h0_ga,1.438499396886584e-07,5.2856691428323484e-08,1.0011863547307183,2.7215085886283035,3/3,3/3,1111,3948.0,5288.0,-1340.0,878.0,167.0,711.0,-2.1151117217956257,-3.560366992579521,1.4452552707838953,1752.0,2440.0,-688.0,178219.3351480037,314226.0441959996,-136006.70904799592,28.635392417,31.383247291,-2.7478548740000015
